Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;rezult1t
279;Kada se više upravnih stvari može spojiti u jedan upravni postupak?;Ako se prava i ob(a)veze stranaka zasnivaju/temelje na istom ili sličnom činjeničnom stanju i na istoj pravnoj osnovi/osnovu i ako je organ/tijelo koji vodi postupak u pogledu svih predmeta stvarno nadležan;Ako se radi o više različitih zahtjeva;Ako se samo radi o istoj pravnoj osnovi/osnovu;Ako se samo radi o istoj ili sličnoj činjeničnoj osnovi/osnovu;;;1
280;Poseban ispitni postupak u upravnom postupku se (s)provodi:;Uvijek u upravnom postupku;Samo kada je to potrebno radi utvrđivanja činjenica i okolnosti koje su značajne za razrješenje stvari;Samo kada se radi o javnom interesu;Kada se radi o činjenicama o kojima se vodi posebna službena evidencija;;;2
281;Skraćeni postupak u upravnom postupku se (s)provodi:;Ako je stranka u svom zahtjevu navela činjenice ili podnijela dokaze na osnovu/temelju kojih se može utvrditi stanje stvari;Kada se ne radi o hitnim/žurnim mjerama u javnom interesu;Kada stranka ne podnese sve relevantne dokaze;Kada se ne radi o općepoznatim/opštepoznatim činjenicama;;;1
282;Koji od navedenih nisu (iz)vanredni pravni lijekovi u upravnom postupku?;Zahtjev za zaštitu zakonitosti;Pokretanje obnove postupka;Poništenje i ukidanje rješenja po pravu nadzora;(Iz)vanredno ukidanje rješenja;;;1
283;U koju vrstu pravnih lijekova spada obnova postupka u upravnom postupku?;Redovan/redovit pravni lijek;(Iz)vanredan pravni lijek;Nije dopuštena;Izuzetno/iznimno dopušten (iz)vanredni pravni lijek;;;2
284;Koji organ/tijelo po pravu nadzora poništava i ukida rješenje po pravu nadzora?;Prvostepeni organ/prvostupanjsko tijelo;Apelaciona komisija/Apelacijsko povjerenstvo;Samo Skupština Brčko distrikta BiH;Pravobranilaštvo/Pravobraniteljstvo Brčko distrikta BiH;;;2
285;Ko/tko može zatražiti obnovu postupka u upravnom postupku?;Samo Ombudsman/Ombudsmen BiH;Samo stranka;Stranka, tužilac/tužitelj, a tijelo/organ koji je donio rješenje kojim je postupak okončan može pokrenuti obnovu postupka po službenoj dužnosti;Samo Pravobranilaštvo/Pravobraniteljstvo Brčko distrikta BiH;;;3
286;Prvostepeno/prvostupanjsko rješenje u upravnom postupku postaje izvršno:;Istekom roka za žalbu, ako ista nije izjavljena;Dostavom rješenja stranci;U roku od 30 dana od dana dostave stranci;Nakon donošenja odluke po (iz)vanrednom pravnom lijeku.;;;1
287;Načelo upravnog postupka je:;Načelo jednakosti (s)polova;Načelo efikasnosti/učinkovitosti;Načelo konstitutivnosti;Načelo zaštite vitalnog nacionalnog interesa;;;2
288;Konačno rješenje u upravnom postupku je:;Rješenje protiv kojeg se ne može pokrenuti upravni spor;Rješenje protiv kojeg se ne može izjaviti žalba;Rješenje protiv kojeg je dozvoljeno redovno/redovito pravno sredstvo;Rješenje koje je donio prvostepeni organ/prvostupanjsko tijelo uz saglasnost/suglasnost drugog organa/tijela;;;2
289;Ko/tko određuje način dostavljanja rješenja?;Stranka u postupku;Organ/tijelo čije se rješenje dostavlja;Rukovodilac organa/rukovoditelj tijela;Punomoćnik stranke;;;2
290;Upravni postupak se pokreće:;Tužbom;Prijedlogom;Po zahtjevu stranke ili po službenoj dužnosti;Žalbom;;;3
291;Do kada stranka može izmijeniti zahtjev postavljen u postupku?;Do donošenja prvostepenog/prvostupanjskog rješenja;Do zakazivanja usmene rasprave;Do donošenja rješenja po žalbi;Do okončanja upravnog spora;;;1
292;Rok za žalbu se računa od:;Od dana dostavljanja rješenja;Od dana donošenja rješenja;Od dana saopštenja/saopćenja/priopćenja da je rješenje doneseno;Od dana izrade rješenja;;;1
293;U kojim slučajevima će drugostepeni organ/drugostupanjsko tijelo odbaciti žalbu?;Ako je pogrešno utvrđeno činjenično stanje;Ako je pogrešno primijenjen materijalni propis;Ako je neblagovremena/nepravovremena/nepravodobna i nedopuštena;Ako se u postupku nije vodilo računa o pravilima postupka;;;3
294;Pravosnažno je rješenje:;Protiv kojeg se može izjaviti žalba;Protiv kojeg se ne može izjaviti prigovor;Protiv kojeg se ne može izjaviti žalba niti pokrenuti upravni spor;Protiv kojeg se može pokrenuti upravni spor.;;;3
295;Dostavljanje pismena javnim saopštenjem/saopćenjem/priopćenjem na oglasnoj tabli/ploči smatra se izvršenim poslije isteka:;15 dana od dana stavljanja na oglasnu tablu/ploču;30 dana od dana stavljanja na oglasnu tablu/ploču;8 dana od dana stavljanja na oglasnu tablu/ploču;7 dana od dana stavljanja na oglasnu tablu/ploču;;;1
296;Na kojem jeziku se vodi upravni postupak?;Bosanskom jeziku;Na jeziku stranka u postupku;Na bosanskom, hrvatskom ili srpskom jeziku;Na jeziku punomoćnika stranke u postupku;;;3
297;Šta/što sadrži uvod rješenja donesenog u upravnom postupku?;Naziv tijela/organa koji donosi rješenje, propis o nadležnosti tog tijela/organa, ime stranke i njenog zakonskog zastupnika ili punomoćnika ako ga ima i kratko označenje predmeta postupka;Nalog za izvršenje određene radnje u postupku;Rješenje o troškovima postupka;Pouku o pravnom lijeku;;;1
298;Meritorna odluka u upravnom postupku se donosi u formi:;Presude;Zaključka;Odluke;Rješenja;;;4
299;Na prvostepenu/prvostupanjsku odluku organa/tijela uprave nezadovoljna stranka ima pravo:;Tužbe;Prigovora;Žalbe;Apelacije;;;3
300;Drugostepeni organ/drugostupanjsko tijelo u upravnom postupku u Brčko distriktu BiH je:;Osnovni sud Brčko distrikta BiH;Apelacioni/Apelacijski sud Brčko distrikta BiH;Apelaciona komisija/Apelacijsko povjerenstvo;Supervizor;;;3
301;Organ/tijelo protiv čijeg je rješenja pokrenut upravni spor može:;Poništiti ili izmijeniti svoje rješenje iz istih razloga iz kojih bi sud mogao poništiti takvo rješenje ako se time ne vrijeđa pravo stranke ili treće osobe/lica;Ukinuti svoje rješenje;Ne može preduzeti/poduzeti više nikakve radnje u postupku;Donijeti zaključak kojim stavlja (iz)van snage svoje rješenje;;;1
302;Upravni spor se može voditi:;Protiv svakog upravnog akta nadležnog organa/tijela uprave;Protiv upravnog akta kojim na osnovu/temeljem Statuta odlučuje Skupština Brčko distrikta BiH;Protiv konačnog upravnog akta nadležnog organa/tijela uprave;Protiv prvostepenog/prvostupanjskog rješenja nadležnog organa/tijela uprave.;;;3
303;Upravni spor se pokreće:;Zahtjevom;Tužbom;Zaključkom;Žalbom;;;2
304;Acquis se za potrebe pregovora o pristupanju dijeli na: ;20 poglavlja;30 poglavlja;35 poglavlja;10 poglavlja;;;3
305;Avis je:;Dokument kojim Evropska komisija/Eupropsko povjerenstvo, na zahtjev Vijeća/Savjeta EU, ocjenjuje sposobnost i pripremljenost države podnositeljice zahtjeva za ispunjavanje kriterij(um)a za članstvo u EU, tzv. mišljenje o zahtjevu za članstvo;Dokument kojim Vijeće/Savjet EU državi daje status kandidata;Naziv za zahtjev za članstvo;Naziv za upitnik na temelju/osnovu kojeg Evropska komisija/Europsko povjerenstvo izrađuje mišljenje o zahtjevu za članstvo;;;1
306;Bezvizni režim EU za BiH je uspostavljen:;15. 12. 2008.;15. 12. 2009.;15. 12. 2010.;15. 12. 2011.;;;3
307;Bosna i Hercegovina postala je članica Vijeća Europe/Evrope / Savjeta Evrope:;1992;1996;2002;Nije članica;;;3
308;Dan Evrope/Europe (9. maj/svibanj) se u Evropskoj/Europskoj uniji obilježava na dan kada je:;Zaključen Ugovor o Evropskoj/Europskoj uniji;Zaključen Ugovor o Evropskoj/Europskoj ekonomskoj zajednici;Objavljena Šumanova deklaracija;Uspostavljeno Vijeće Europe/Evrope / Savjet Evrope;;;3
309;Direktiva je:;Primarni izvor prava EU i pravno neob(a)vezujući akt za države članice EU, koji im daje smjernice za ciljeve koje trebaju postići;Sekundarni izvor prava EU i pravno ob(a)vezujući akt za države članice EU, koji ih ob(a)vezuje u pogledu ciljeva koje treba postići, ali im ostavlja slobodu u pogledu odabira oblika i metoda provedbe/sprovođenja;Naziv za zakon EU;Primarni izvor prava EU i pravno ob(a)vezujući akt za države članice EU, koji ih ob(a)vezuje u pogledu ciljeva koje treba postići, ali im ostavljaju slobodu u pogledu odabira oblika i metoda provedbe/sprovođenja.;;;2
310;Država članicom EU postaje:;Zaključivanjem Sporazum o stabilizaciji i pridruživanju;Kada dostigne 60% BDP od prosječnog u državama članicama EU;Kada ispuni kriterij(um)e za članstvo, završi pregovore o pristupanju, potpiše ugovor o pristupanju, te kada se završi proces njegove ratifikacije;Kada to odluče institucije EU;;;3
311;Država kandidatkinja je država:;Kojoj je na temelju/osnovu pozitivnog mišljenja Evropske komisije/Europskog povjerenstva (avis), Europsko/Evropsko vijeće / Evropski savjet dodijelio status države kandidatkinje;Koja je podnijela zahtjev za članstvo;Koja je otvorila pregovore o pristupanju;Sve države koje imaju aspiraciju postati države članice EU;;;1
312;Država pristupnica je:;Država koja je podnijela zahtjev za članstvo;Država koja je dobila status kandidata;Država koja je ispunila kriterij(um)e za članstvo, zaključila pregovore o pristupanju u EU, potpisala ugovor o pristupanju i koja čeka utvrđeni datum/nadnevak pristupanja EU;Država koja je pristupila u EU;;;3
313;Države osnivačice/osnivači Evropske/Europske unije su:;Italija, Francuska, Njemačka i Velika Britanija;Belgija, Francuska, Holandija/Nizozemska, Italija, Njemačka i Velika Britanija;Belgija, Italija, Francuska, Holandija/Nizozemska, Luksemburg i Njemačka;Italija, Francuska, Grčka, Njemačka, Portugal i Španija/Španjolska;;;3
314;Ekonomski kriterij(um) za članstvo u EU (kriterij(um)i iz Kopenhagena) podrazumijeva:;Visok stepen/stupanj stabilnosti cijena, te da stopa inflacije ne smije biti veća od 1,5% u odnosu na stopu inflacije u tri države članice EU s najstabilnijim cijenama;Postojanje funkcionalne tržišne privrede/gospodarstva, sposobne da se nosi s pritiskom konkurencije i tržišnim snagama unutar EU;Da budžetski/proračunski deficit ne smije iznositi više od 3 % BDP-a, a javni dug više od 60 % BDP-a;Učešće u europskom/evropskom monetarnom sistemu/sustavu najmanje dvije godine, te da nominalne dugoročne kamatne stope ne smiju iznositi više od 2 % u odnosu na kamatne stope tri države članice EU sa najnižom stopom inflacije;;;2
315;Europska/Evropska ekonomska zajednica je:;Sinonim za EU;Organizacija europskih/evropskih država koja nema nikakve veze sa EU;Ekonomski forum Vijeća Europe/Evrope / Savjeta Evrope;Jedna od tri europske/evropske zajednice iz kojih je izrasla današnja Europska/Evropska unija;;;4
316;Evropska komisija/Europsko povjerenstvo ima sljedeće funkcije:;"Da predstavlja i štiti interese EU, predlaže propise, upravlja i (s)provodi politike i budžet/proračun EU, bude ""čuvar U govora"", te predstavlja EU na međunarodnoj razini/nivou";Rješava sporove između država članica EU;Usvaja propise EU;Definira/definiše smjernice za dalj(nj)i razvoj/razvitak EU.      ;;;1
317;Europska/Evropska unija ima:;24 službena jezika;27 službenih jezika;25 službenih jezika;3 službena jezika;;;1
318;Evropska/Europska unija je:;sui generis struktura - niti država niti međunarodna organizacija;Federacija evropskih/europskih država;Konfederacija evropskih/europskih država;Skup evropskih/europskih organizacija;;;1
319;Evropski/Europski parlament ima sljedeće funkcije:;Demokratski nadzor i postupanje po peticijama građana EU;Zakonodavna inicijativa (predlaganje propisa EU) i usvajanje propisa EU;Zakonodavna funkcija, demokratski nadzor i usvajanje budžeta/proračuna;Isključivo savjetodavnu funkciju;;;3
320;Evropski/Europski parlament je:;Institucija EU čiji se članovi biraju na direktnim/izravnim izborima i koja zastupa interese građana EU;Savjetodavno tijelo EU čiji se članovi delegiraju iz zakonodavnih tijela država članica i koje zastupa interese država članica EU;Dvodomo zakonodavno tijelo EU čiji se članovi biraju na direktnim/izravnim izborima i koje zastupa isključivo interese EU;Institucija EU čiji se članovi delegiraju iz zakonodavnih tijela država članica i koje zastupa interese građana država članica EU;;;1
321;Himna Vijeća Europe/Evrope / Savjeta Evrope je:;Vijeće Europe/Evrope / Savjet Evrope nema himnu;Oda radosti (IV. stavak IX. simfonije) Ludwiga van Beethovena / Ludviga van Betovena;Mala noćna muzika Wolfganga Amadeusa Mozarta / Volfganga Amadeusa Mocarta;"Specijalno komponirano/komponovano djelo više autora pod nazivom ""Himna Vijeća Europe/Evrope / Savjeta Evrope""";;;2
322;Instrumenti za usklađivanje zakonodavstva BiH sa pravnom stečevinom/tekovinom (acquis) EU su:;Izjava o usklađenosti i u(s)poredni prikaz usklađenosti;U(s)poredni prikaz usklađenosti i tabele/tablice transpozicije;Izjava o usklađenosti i tabele/tablice transpozicije;Samo ovjerena i potpisana izjava o usklađenosti od strane resornog ministra ili voditelja tijela / šefa organa uprave;;;1
323;Izvore prava EU čini i:;Praksa Suda pravde EU;Odluke Europske/Evropske banke za obnovu i razvoj/razvitak;Odluke Skupštine regija/regiona EU;Ustav EU, zakone i podzakonske akte EU;;;1
324;Jesu li sve države članice EU prošle isti put do članstva u EU?;Da, za sve države koje žele postati članicama EU način i dinamika približavanja EU su isti;Ne, način i dinamika približavanja EU države koja želi postati članicom Unije zavisi/ovisi o njenoj spremnosti, te spremnosti EU da primi novu državu članicu;Da, sve su članicama EU postale istovremeno;Ne, zavisi/ovisi u kojoj su skupini/grupi država bile.;;;2
325;Kako su se zvale prve tri zajednice europskih/evropskih država?;Europska/Evropska zajednica za ugljen/ugalj i čelik, Europska/Evropska ekonomska zajednica i Europska/Evropska unija 2 Europska/Evropska zajednica za ugljen/ugalj i čelik, Europska/Evropska ekonomska zajednica i Euratom;Europska/Evropska zajednica za atomsku energiju, Europska/Evropska zajednica i Europska/Evropska unija;Europska/Evropska ekonomska zajednica, Euratom i Europska/Evropska o(d)brambena zajednica;;;;2
326;Koliko država članica ima Europska/Evropska unija?;18;28;27;25;;;3
327;Koliko je zvjezdica u krugu na zastavi Evropske/Europske unije?;12;15;25;27;;;1
328;Kriterij(um)i iz Kopenhagena su:;Kriterij(um)i za prijem u NATO;Kriterij(um)i za članstvo u EU;Kriterij(um)i za dodjelu pretpristupne pomoći;Kriterij(um)i za prijem u Partnerstvo za mir;;;2
329;Mišljenje i preporuka su:;Sekundarni izvori prava EU, koji su neob(a)vezujućeg karaktera i koje institucije EU upućuju državama članicama i/ili pravnim osobama/licima na temelju/osnovu planiranih inicijativa EU;Sekunadrni izvori prava EU, koji su pravno ob(a)vezujući i koji se mogu odnositi na državu članicu EU, pravnu ili fizičku osobu/lice;Nazivi za podzakonske akte EU;Primarni izvor prava EU i pravno neob(a)vezujući akt za države članice EU, koji im daje smjernice za ciljeve koje treba postići;;;1
330;Na temelju/osnovu ispunjavanja kriterij(um)a iz Kopenhagena utvrđuje se:;Sposobnost države da postane članica EU;Mogućnost regionalnog povezivanja država članica EU;Razina/nivo socijalne zaštite u državama članicama EU;Razina/nivo poštivanja/poštovanja ljudskih prava i sloboda u državama članicama EU;;;1
331;Na temelju/osnovu odgovora na Upitnik:;Evropska komisija/Europsko povjerenstvo izrađuje avis (mišljenje) o sposobnosti države da prihvati uvjete/uslove članstva i daje preporuku za otvaranje pregovora o pristupanju;Europsko/Evropsko vijeće / Evropski savjet donosi političku odluku o davanju državi statusa kandidatkinje;Europski/Evropski parlament daje većinom glasova svojih članova pristanak na članstvo države u EU;Odbor regija/regiona prihvata/prihvaća državu u svoje članstvo.          ;;;1
332;Načelo supsidijarnosti podrazumijeva da:;Europska/Evropska unija ne poduzima/preduzima radnje (izuzev u područjima svoje isključive nadležnosti), osim ako one nisu djelotvornije od radnji poduzetih/preduzetih na razini/nivou države članice, regije/regiona ili lokalne samouprave;Europska/Evropska unija osigurava/obezbjeđuje jednakost u postupanju s pojedincima, bez obzira na nacionalnost, (s)pol, rasno ili etničko podrijetlo/porijeklo, religiju ili vjerovanje, invaliditet, dob ili (s)polnu orijentaciju;Europska/Evropska unija i njene institucije u svojim aktivnostima ne prelaze više od onog što je nužno za postizanje ciljeva koji su definirani/definisani u osnivačkim ugovorima i njihovim revizijama;Ništa od navedenog;;;1
333;Najvažniji dokument Vijeća Evrope/Europe / Savjeta Evrope je:;Evropska/Europska konvencija za zaštitu ljudskih prava i osnovnih/temeljnih sloboda;Okvirna konvencija o zaštiti prava nacionalnih manjina;Ugovor o Evropskoj/Europskoj zajednici za ugalj/ugljen i čelik;Ugovor o Evropskoj/Europskoj uniji;;;1
334;Najvećim dostignućem Vijeća Evrope/Europe / Savjeta Europe smatra se:;Povelja o temeljnim/osnovnim pravima EU;Univerzalna deklaracija o ljudskim pravima;Europska/Evropska konvencija za zaštitu ljudskih prava i temeljnih/osnovnih sloboda;Ugovor o Europskoj/Evropskoj uniji;;;3
335;Pakt stabilnosti za jugoistočnu Europu/Evropu 2008. je prerastao u:;Pakt stabilnosti;Mediteransku uniju;Vijeće/Savjet za regionalnu suradnju/saradnju;Jadransko-jonsku inicijativu;;;3
336;Pojam screening/skrining u evropskim/europskim integracijama označava:;Analitički pregled i ocjenjivanje usklađenosti zakonodavstva države kandidatkinje s acquis-om;Pravljenje liste poglavlja koja će se prva otvarati;Traženje izuzeća države kandidatkinje u pojedinim poglavljima pregovora;Posmatranje konkurencije;;;1
337;Politički kriterij(um) za članstvo u EU (kriterij(um)i iz Kopenhagena) podrazumijeva:;Stabilnost institucija koje osiguravaju/obezbjeđuju demokratiju/demokraciju, vladavinu prava, poštivanje/poštovanje ljudskih prava i zaštitu manjina;Članstvo u Vijeću Evrope/Europe / Savjetu Evrope i NATO-u;Postojanje političke stabilnosti i višestranačkog sistema/sustava;Sposobnost preuzimanja ob(a)veze članstva, uključujući privrženost ciljevima političke, ekonomske i monetarne unije;;;1
338;Posljednje proširenje Evropske/Europske unije realizirano/realizovano je:;1995. kad su u EU pristupile Austrija, Finska i Švedska;2013. kada je u EU pristupila Hrvatska;2007. kada su u EU pristupile Bugarska i Rumunija/Rumunjska;1981. kada je u EU pristupila Grčka.         ;;;2
339;Prava i slobode iz Evropske/Europske konvencije za zaštitu ljudskih prava i osnovnih/temeljnih sloboda:;Direktno/izravno se primjenjuju u BiH i imaju prioritet nad svim ostalim zakonima;Primjenjuju se u BiH nakon njene ratifikacije;Primjenjuju se, ukoliko nisu u suprotnosti sa zakonima BiH;Primjenjuju se samo u slučaju ako je to utvrđeno međunarodnim sporazumom;;;1
340;Primarne izvore prava EU čine:;Ustav EU;Osnivački ugovori, njihovi aneksi i protokoli;Uredbe, direktive, odluke, mišljenja i preporuke;Ustav EU, konvencije Vijeća Europe/Evrope / Savjeta Evrope i ostale međunarodne konvencije;;;2
341;Sekundarne izvore prava EU čine:;Osnivački ugovori, njihovi aneksi i protokoli;Zakoni EU i podzakonski akti;Uredbe, direktive, odluke, mišljenja i preporuke;Povelja o temeljnim/osnovnim pravima EU;;;3
342;Sjedište Europske središnje banke/Evropske centralne banke je u:;Frankfurtu;Bruxellesu/Briselu;Parizu;Strasbourgu/Strazburu;;;1
343;Sjedište Vijeća Evrope/Europe / Savjeta Evrope je u:;Bruxellesu/Briselu;Luksemburgu;Strasbourgu/Strazburu;Berlinu;;;3
344;Unutarnje/unutrašnje tržište EU se temelji/zasniva na:;Slobodi kretanja roba, ljudi, usluga i kapitala;Slobodi kretanja roba, ljudi i usluga;Slobodi kretanja roba i ljudi;Slobodi kretanja roba;;;1
345;Uredba je:;Sekundarni izvor prava EU i pravno ob(a)vezujući akt za države članice EU, koji ih ob(a)vezuje u pogledu ciljeva koje treba postići, ali im ostavljaju slobodu u pogledu odabira oblika i metoda provedbe/sprovođenja;Naziv za zakon EU;Sekundarni izvor prava EU i pravno ob(a)vezujući akt, koji je izravno/direktno primjenjiv u svim državama članicama EU;Primarni izvor prava EU, koji je pravno ob(a)vezujući i izravno/direktno primjenjiv u svim državama članicama EU;;;3
346;Ustavni ugovor (tzv. Europski/Evropski ustav):;Stupio je na snagu 1951.;Stupio je na snagu 2009.; Nije stupio na snagu jer je postupak ratifikacije obustavljen nakon što su ga građani 2005. odbacili na referendumima u Francuskoj i Nizozemskoj/Holandiji;Tek će biti usvojen na sljedećoj meĎuvladinoj konferenciji.;;;3
347;Vijeće Europe/Evrope / Savjet Evrope:;Ima posebno tijelo koji se bavi pitanjima o(d)brane;U pitanjima o(d)brane surađuje/sarađuje sa EU;Uopće/uopšte se ne bavi pitanjem o(d)brane;Pitanja o(d)brane rješava od slučaja do slučaja;;;3
348;Vijeće/Savjet Europske/Evropske unije čine:;Ministri vanjskih/inostranih poslova država članica EU;Šefovi država i/ili vlada država članica EU + predsjednik Evropske komisije/Europskog povjerenstva;Ministri država članica EU;Članovi parlamentarnih grupa/skupina Europskog/Evropskog parlamenta;;;3
349;Vijeće Evrope/Europe / Savjet Evrope je:;Najstarija evropska/europska organizacija kojoj je osnovna funkcija promocija demokracije/demokratije, poštivanja/poštovanja ljudskih prava i pravne države;Nadnacionalna međunarodna organizacija kojoj je osnovna funkcija zaštita ljudskih prava;Institucija EU;sui generis struktura unutar EU koja se bavi zaštitom ljudskih prava;;;1
350;Zastupnici/poslanici se u Europski/Evropski parlament biraju:;Iz zakonodavnih tijela država članica EU;Na izravnim/direktnim izborima za Europski/Evropski parlament;Iz vladajućih parlamentarnih stranaka u državama članicama EU;Iz opozicijskih/opozicionih stranaka država članica EU;;;2
351;Zastupnici/poslanici u Europskom/Evropskom parlamentu grupiraju/grupišu se prema:;Pripadnosti državama članicama EU;Političkim opcijama koje zastupaju;Broju stanovnika države članice EU iz koje dolaze;Slobodnom opredjeljenju.;;;2
